org_key,year,event_key,match_key,match_number,time,alliance,team_key,Start_Position,Did_Score_In_Auto,Auto_Full_Cycles,Auto_Half_Cycles,End_Position,Climb_In_Auto,Started_With_Auto_Hub,Did_Intake_Fuel,Did_Shoot_Fuel,full_Score_Cycles,half_Score_Cycles,full_Lob_Cycles,half_Lob_Cycles,Did_Climb,Climb_Tier,Did_Feed_Outpost,Did_Lob_Neutral,Did_Lob_Opposite,Died_During_Match,Tipped_Over_During_Match,Got_Beached,Got_Stuck_Under_Trench,Got_Stuck_On_Bump,Got_Damaged,Defense_Quality,Shooter_Accuracy,Driver_Skill,RedCard,YellowCard,Accuracy_Percentage,Total_Auto_Points,Total_Teleop_Points,Total_Fuel_Lobbed,Total_Endgame_Points,Total_Contributed_Points,contributedPoints,Total_Fuel_Points,Total_Climb_Points,AutoMistakeFlag,DidScoreMistakeFlag,DidIntakeMistakeFlag
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,red,frc9126,"Depot","1","1","1","Alliance Zone","0","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","intake jammed","4","9","3","0","0","0.9","75","0","25","0","75","75","75","0","1","0","0"
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,red,frc2767,"Outpost","1","1","0","Alliance Zone","0","1","1","1","4","0","0","1","0","0","0","1","1","0","0","0","0","0","","5","5","3","0","0","0.5","80","160","40","0","240","240","400","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,blue,frc9084,"Depot","1","1","1","Alliance Zone","0","0","1","1","2","3","1","2","0","0","0","1","0","0","0","0","0","0","","1","6","2","0","0","0.6","60","84","80","0","144","144","200","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,red,frc7166,"Outpost","1","1","0","Alliance Zone","0","1","1","1","5","0","0","1","0","0","0","1","0","0","0","0","0","0","","0","7","4","0","0","0.7","65","227.5","32.5","0","292.5","292.5","390","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,red,frc10162,"Outpost","0","0","0","Alliance Zone","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","8","9","1","0","0","0.9","0","0","0","0","0","0","0","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,red,frc5801,"Depot","0","0","0","Alliance Zone","0","0","1","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","shooter was acting up","4","6","2","0","0","0.6","0","12","20","0","12","12","20","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,red,frc1261,"Outpost","1","0","3","Alliance Zone","0","0","1","1","4","3","1","0","0","0","0","1","0","0","0","0","0","0","","0","7","4","0","0","0.7","78","200.2","52","0","278.2","278.2","364","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,blue,frc4593,"Depot","1","1","0","Alliance Zone","0","1","1","1","4","3","0","0","0","0","1","0","0","0","0","0","0","0","","4","10","4","0","0","1","35","192.5","0","0","227.5","227.5","227.5","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,blue,frc5665,"Tower","1","1","0","Alliance Zone","0","1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","","6","4","4","0","0","0.4","0","0","0","0","0","0","0","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,blue,frc1114,"Outpost","1","2","0","Neutral Zone","0","0","1","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","4","9","4","0","0","0.9","160","324","0","0","484","484","520","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,red,frc1511,"Outpost","1","2","0","Alliance Zone","0","0","0","0","4","0","1","0","0","0","0","1","0","0","0","0","0","0","","4","6","3","0","0","0.6","100","120","50","0","220","220","300","0","0","1","1"
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,blue,frc5468,"Depot","1","1","1","Alliance Zone","0","1","1","1","3","2","1","5","0","0","0","1","0","0","0","0","0","0","","0","7","3","0","0","0.7","46.5","86.8","108.5","0","133.3","133.3","170.5","0","0","0","0"
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,red,frc5010,"Outpost","1","1","0","Alliance Zone","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","fuel got stuck and could not shoot but they tried to dislodge it and toward the end they could not drive very well for some reason","7","8","4","0","0","0.8","50","20","0","0","70","70","75","0","1","0","0"
